기온분석
[검색조건]
자료구분 : 월
자료형태 : 기본
지역/지점 : 부산
기간 : 2018~2020 01~12

년월,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2018-01,159,1.9,-9.9,14
2018-02,159,3.9,-9.6,14.7
2018-03,159,10,-0.7,22.3
2018-04,159,14.5,3,24.3
2018-05,159,17.8,9.8,26.6
2018-06,159,21.5,15.1,31.3
2018-07,159,26.7,17.8,35.4
2018-08,159,27.9,21.2,36.4
2018-09,159,21.9,14.9,30
2018-10,159,16.4,7.9,25.6
2018-11,159,12.4,2.7,22.5
2018-12,159,5.7,-7.1,18.8
2019-01,159,4.5,-4.4,13.7
2019-02,159,6.6,-4.2,16.5
2019-03,159,10.5,0.5,21
2019-04,159,13.4,2.1,23.4
2019-05,159,19.3,11,30.1
2019-06,159,21.1,15.5,29.7
2019-07,159,24.3,19.8,30.9
2019-08,159,27,20.3,35
2019-09,159,23.1,15.8,30.5
2019-10,159,18.6,10.4,28.8
2019-11,159,13,2,24
2019-12,159,7,-2.8,16.6
2020-01,159,6.4,-3.2,17.7
2020-02,159,7.1,-5,18.1
2020-03,159,10.4,-0.3,18.2
2020-04,159,12.6,4.4,24.4
2020-05,159,17.9,12.2,26
2020-06,159,22.4,16.8,30.7
2020-07,159,22.1,17.8,30.6
2020-08,159,27.2,23.4,33.2
2020-09,159,21.9,15.5,30.6
2020-10,159,17.3,7,25.9
2020-11,159,12.4,1.1,23.3
2020-12,159,4.3,-8,15

