조건별분석,,,,,,,,,
[검색조건],,,,,,,,,
,분류: 지상,,,,,,,,
,요소 : 기온,,,,,,,,
,검색구분 : 월,,,,,,,,
,지역/지점명 : 부산,,,,,,,,
,기간 : 2020 ~ 2021년 01 ~ 12월,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"	",,,,,,,,,
"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		159",부산,2020-01,6.4,10.9,17.7,2020-01-07,3.1,-3.2,2020-01-01
"		159",부산,2020-02,7.1,11.8,18.1,2020-02-14,3.1,-5,2020-02-06
"		159",부산,2020-03,10.4,15,18.2,2020-03-19,6.4,-0.3,2020-03-05
"		159",부산,2020-04,12.6,17.5,24.4,2020-04-29,8.9,4.4,2020-04-23
"		159",부산,2020-05,17.9,21.8,26,2020-05-27,15,12.2,2020-05-22
"		159",부산,2020-06,22.4,26.6,30.7,2020-06-28,19.5,16.8,2020-06-18
"		159",부산,2020-07,22.1,24.8,30.6,2020-07-31,20.3,17.8,2020-07-17
"		159",부산,2020-08,27.2,30.4,33.2,2020-08-20,24.8,23.4,2020-08-27
"		159",부산,2020-09,21.9,25.6,30.6,2020-09-01,19.2,15.5,2020-09-29
"		159",부산,2020-10,17.3,22.2,25.9,2020-10-03,13.8,7,2020-10-24
"		159",부산,2020-11,12.4,17.2,23.3,2020-11-18,8.5,1.1,2020-11-29
"		159",부산,2020-12,4.3,9.3,15,2020-12-28,0.5,-8,2020-12-31
"		159",부산,2021-01,3.3,7.9,15.7,2021-01-15,-0.8,-12.2,2021-01-08
"		159",부산,2021-02,7.2,11.9,19.3,2021-02-21,3.2,-7.2,2021-02-18
"		159",부산,2021-03,11.4,15.9,21.6,2021-03-30,7.7,1.6,2021-03-03
"		159",부산,2021-04,14.7,19.7,26.5,2021-04-22,10.8,6.3,2021-04-05
"		159",부산,2021-05,17.7,21.5,26.5,2021-05-23,14.7,8.6,2021-05-02
"		159",부산,2021-06,21.9,25.4,30.9,2021-06-21,19.3,16.6,2021-06-01
"		159",부산,2021-07,26.3,29.5,32.4,2021-07-20,24,20.8,2021-07-05
"		159",부산,2021-08,26.2,29.4,35.6,2021-08-06,23.8,20.4,2021-08-17
"		159",부산,2021-09,22.9,26.4,28.8,2021-09-12,20.5,18.9,2021-09-27
"		159",부산,2021-10,18.7,23.3,28.4,2021-10-10,15.2,5.5,2021-10-17
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
"		",,,,,,,,,
"	",,,,,,,,,
"	",,,,,,,,,
